Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos
"2024-12-07 22:40","16858","5105","0","250","2328","2043","-1873","-102","16","11","469","1068",
"2024-12-07 22:45","16670","5102","0","250","2380","2064","-1976","-102","16","11","469","1069",
"2024-12-07 22:50","16271","5100","0","250","2515","1965","-1928","-102","16","11","469","1026",
"2024-12-07 22:55","16272","5100","0","250","2592","1922","-2271","-102","10","11","469","1028",
"2024-12-07 23:00","16196","5104","0","250","2593","1636","-2027","-102","8","11","469","1067",
"2024-12-07 23:05","16856","5096","0","250","2403","1546","-2465","-102","8","10","462","1063",
"2024-12-07 23:10","17032","5093","0","250","2270","1598","-2633","-102","8","11","462","1064",
"2024-12-07 23:15","17146","5100","0","250","2387","1411","-2900","-102","8","10","462","1064",
"2024-12-07 23:20","17137","5099","0","250","2317","1310","-2873","-102","8","10","462","1072",
"2024-12-07 23:25","16985","5103","0","247","2265","1116","-2626","-102","8","10","462","1068",
"2024-12-07 23:30","16906","5100","0","246","2272","1021","-2478","-102","8","10","462","1068",
"2024-12-07 23:35","17009","5102","0","246","2274","883","-2597","-101","8","10","462","1030",
"2024-12-07 23:40","17028","5099","0","246","2296","713","-2843","-102","8","10","462","1068",
"2024-12-07 23:45","17003","5101","0","246","2363","483","-2666","-102","8","10","462","1073",
"2024-12-07 23:50","16978","5101","0","251","2403","407","-2683","-102","8","11","462","1073",
"2024-12-07 23:55","16785","5104","0","249","2506","302","-2739","-102","8","11","462","1023",
"2024-12-08 00:00","16827","5102","0","249","2664","209","-3250","-102","8","11","462","1065",
"2024-12-08 00:05","17228","5100","0","249","2646","153","-3700","-101","8","11","413","1050",
"2024-12-08 00:10","17330","5097","0","251","3088","81","-4182","-102","8","11","413","1046",
"2024-12-08 00:15","17368","5100","0","250","2748","-93","-3913","-102","8","11","413","1041",
"2024-12-08 00:20","17594","5102","0","250","2871","-133","-4303","-102","8","11","413","1008",
"2024-12-08 00:25","17506","5096","0","250","2712","-276","-4068","-101","8","11","413","1038",
"2024-12-08 00:30","17363","5105","0","250","2674","-288","-3870","-102","8","11","413","1045",
"2024-12-08 00:35","17331","5102","0","250","2657","-323","-4030","-102","8","12","413","1043",
"2024-12-08 00:40","17301","5102","0","250","2659","-317","-4086","-102","8","12","413","1008",
"2024-12-08 00:45","17288","5103","0","250","2668","-389","-4355","-102","8","12","413","1046",
"2024-12-08 00:50","17230","5101","0","250","2650","-392","-4068","-102","8","12","413","1048",
"2024-12-08 00:55","17221","5105","0","249","2663","-384","-4255","-102","8","11","413","1050",
"2024-12-08 01:00","17219","5098","0","251","2654","-582","-4149","-102","8","11","413","1018",
"2024-12-08 01:05","17096","5101","0","250","2655","-533","-4238","-102","8","11","403","1065",
"2024-12-08 01:10","17063","5104","0","250","2701","-633","-4266","-102","8","11","403","1058",
"2024-12-08 01:15","16618","5100","0","250","2739","-547","-3916","-102","8","11","403","1055",
"2024-12-08 01:20","16666","5099","0","250","2746","-580","-4048","-101","8","11","403","1053",
"2024-12-08 01:25","16503","5096","0","250","2715","-689","-4110","-102","8","11","403","1050",
"2024-12-08 01:30","16471","5102","0","249","2707","-768","-4393","-102","8","11","403","1051",
"2024-12-08 01:35","16245","5101","0","250","2657","-768","-3981","-102","8","11","403","1051",
"2024-12-08 01:40","16267","5103","0","250","2663","-663","-4064","-102","8","11","403","1058",
"2024-12-08 01:45","16224","5102","0","248","2658","-665","-4030","-102","8","11","403","1016",
"2024-12-08 01:50","16336","5102","0","250","2651","-728","-4227","-102","8","11","403","1056",
"2024-12-08 01:55","16249","5105","0","249","2663","-673","-4333","-102","8","11","403","1058",
"2024-12-08 02:00","16159","5104","0","249","2659","-774","-4167","-101","8","11","403","1055",
"2024-12-08 02:05","15954","5099","0","250","2662","-806","-4013","-102","8","11","398","1059",
"2024-12-08 02:10","16017","5103","0","250","2655","-867","-4156","-102","8","11","398","1058",
"2024-12-08 02:15","16015","5100","0","250","2651","-869","-4263","-102","8","11","398","1055",
"2024-12-08 02:20","15928","5100","0","250","2659","-822","-4279","-102","8","11","398","1057",
"2024-12-08 02:25","15928","5099","0","249","2649","-845","-4291","-102","8","11","398","1018",
"2024-12-08 02:30","15904","5105","0","249","2656","-905","-4456","-102","8","11","398","1053",
"2024-12-08 02:35","15553","5101","0","249","2649","-907","-4132","-102","8","11","398","1048",
"2024-12-08 02:40","15712","5097","0","249","2643","-854","-4383","-102","8","11","398","1052",
"2024-12-08 02:45","15657","5104","0","249","2653","-872","-4257","-102","8","11","398","1052",
"2024-12-08 02:50","15339","5103","0","252","2645","-858","-4005","-102","8","11","398","1053",
"2024-12-08 02:55","15227","5097","0","250","2644","-885","-3927","-102","8","11","398","1049",
"2024-12-08 03:00","15148","5100","0","250","2651","-919","-3822","-102","8","11","398","1052",
